latitude,longitude,acq_date,ndvi,ndmi,land_cover,label
37.08247,36.67335,2021-06-19,0.1638,0.0041,7,1
37.47498,37.06621,2021-06-30,0.1383,-0.0134,7,1
37.47498,37.06621,2021-01-11,0.7026,0.248,4,0
38.18076,37.03757,2023-08-03,0.3269,0.078,4,1
38.18076,37.03757,2023-02-14,0.0967,0.5234,0,0
37.15389,40.32584,2020-06-23,0.2749,0.0795,4,1
37.55323,39.34409,2021-10-21,0.3866,0.1188,4,1
37.55323,39.34409,2021-05-04,0.8534,0.5065,4,0
37.72125,32.9471,2020-10-17,0.2431,-0.055,4,1
37.72125,32.9471,2020-04-30,0.1543,-0.1111,4,0
41.35372,34.16201,2020-09-03,0.7738,0.3821,1,1
41.35372,34.16201,2020-03-17,0.737,0.5628,1,0
36.298,36.58818,2023-08-29,0.5007,0.1085,4,1
36.298,36.58818,2023-03-12,0.4566,0.1374,4,0
36.80257,39.91873,2020-08-15,0.1942,0.0287,4,1
36.80257,39.91873,2020-02-27,0.7136,0.3402,4,0
37.13225,35.87347,2020-09-04,0.2297,-0.1956,4,1
37.13225,35.87347,2020-03-18,0.1628,-0.2017,4,0
36.24232,36.55263,2023-05-24,0.0219,0.006,7,1
37.41558,35.94781,2020-09-14,0.2126,-0.133,4,1
38.03087,40.23283,2023-07-02,0.191,0.1088,4,1
38.03087,40.23283,2023-01-13,0.6682,0.241,4,0
37.00577,31.49246,2021-02-12,0.5913,0.3413,1,0
36.78679,28.18206,2021-07-30,0.9586,0.2893,1,1
36.78679,28.18206,2021-02-10,0.9796,0.4171,1,0
36.3409,36.51578,2020-08-31,0.3173,0.0421,4,1
36.3409,36.51578,2020-03-14,0.1216,-0.0736,4,0
36.8923,39.87393,2023-08-12,0.1211,0.0104,4,1
36.8923,39.87393,2023-02-23,0.6032,0.1685,4,0
37.83068,40.35325,2023-10-28,0.1749,-0.0961,4,1
37.2157,36.04912,2020-08-24,0.4852,-0.0584,4,1
37.2157,36.04912,2020-03-07,0.1893,-0.1645,4,0
37.06167,40.48853,2023-12-19,0.2898,-0.2417,4,1
37.06167,40.48853,2023-07-02,0.1039,-0.1314,4,0
39.92857,39.85658,2020-10-13,0.6127,0.0251,1,1
39.92857,39.85658,2020-04-26,0.5242,0.0095,4,0
38.12559,40.46438,2020-09-26,0.0833,-0.018,7,1
38.12559,40.46438,2020-04-09,0.9001,0.4977,4,0
37.35755,38.51582,2020-10-07,0.2362,0.1309,4,1
36.74286,32.04333,2021-07-30,0.5841,0.0813,1,1
36.31977,36.52214,2021-03-06,0.116,-0.1022,4,0
36.19437,33.58149,2022-09-07,0.4207,-0.1248,1,1
36.99332,40.35575,2022-12-21,0.2477,-0.2365,4,1
36.99332,40.35575,2022-07-04,0.1239,-0.1381,4,0
37.30526,28.37721,2021-08-05,0.4332,0.0499,1,1
37.30526,28.37721,2021-02-16,0.4834,0.0577,1,0
37.0631,35.79488,2020-03-24,0.1671,-0.0831,4,0
37.7125,33.07507,2020-10-17,0.5525,0.2842,4,1
37.7125,33.07507,2020-04-30,0.1411,-0.0871,7,0
37.54195,38.73746,2020-10-23,0.1374,-0.1177,4,1
37.54195,38.73746,2020-05-06,0.1161,-0.1259,4,0
36.74321,38.65726,2020-07-03,0.1472,-0.0207,4,1
36.74321,38.65726,2020-01-15,0.4655,0.0752,4,0
38.6262,31.02731,2021-05-18,0.1482,-0.2047,5,1
38.6262,31.02731,2020-11-29,0.1601,-0.2368,6,0
36.97083,31.47825,2021-07-30,0.8218,0.343,1,1
38.67009,31.92975,2020-08-08,0.116,-0.1424,7,1
